,missions_been_on,failed_missions_been_on,missions_voted_up1,missions_voted_up2,missions_voted_up3,missions_voted_up4,missions_voted_up5,missions_voted_up6,missions_voted_down1,missions_voted_down2,missions_voted_down3,missions_voted_down4,missions_voted_down5,missions_voted_down6,Spy
95,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0
96,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
97,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
98,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
99,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0
100,0,0,0,0,1,1,0,0,4,2,2,1,0,0,0
101,2,2,1,0,2,0,0,0,0,0,0,0,0,0,1
102,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
103,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0
104,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0
105,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1
106,2,1,2,1,0,0,1,0,1,0,0,0,0,0,0
107,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1
108,2,2,4,2,0,1,0,0,0,0,0,0,0,0,1
109,2,2,1,0,0,0,0,0,0,2,0,0,0,0,1
110,4,2,1,0,1,0,0,0,3,0,2,2,0,0,0
111,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0
112,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1
113,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
114,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1
115,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1
116,2,2,3,1,0,0,1,0,0,0,0,0,0,0,1
117,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
118,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0
119,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
120,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1
121,2,0,0,2,0,0,0,0,1,1,1,1,0,0,0
122,2,2,0,0,0,0,1,0,2,1,1,0,0,0,1
123,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0
124,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
126,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
127,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0
128,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1
129,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
130,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
131,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0
132,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
134,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0
135,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0
136,2,2,2,0,2,1,0,0,0,0,0,0,0,0,1
137,2,1,0,1,0,0,0,0,3,2,0,0,1,0,0
138,2,2,1,0,0,1,0,0,2,0,1,0,1,0,1
139,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1
140,1,1,1,1,1,2,0,0,0,1,0,0,0,0,1
141,2,2,4,1,1,1,1,0,0,0,0,0,0,0,1
142,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
143,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
144,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1
145,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
146,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1
147,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
148,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
149,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
150,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
151,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
152,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0
153,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
154,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
155,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1
156,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0
157,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
158,2,2,1,1,0,0,0,0,0,1,0,0,1,0,1
159,2,1,0,1,0,0,0,0,1,1,3,0,0,0,1
160,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0
161,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
162,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1
163,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
164,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0
165,2,1,0,1,0,0,0,0,2,1,1,2,0,0,0
166,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
167,3,2,0,0,1,0,0,0,3,1,0,1,0,0,0
168,3,2,0,1,0,0,1,0,1,1,0,1,0,0,0
169,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0
170,2,2,2,0,1,1,0,0,1,1,0,1,0,0,1
171,2,1,1,0,0,0,0,0,0,2,1,0,0,0,1
172,2,2,1,0,1,1,0,0,0,0,0,0,0,0,1
173,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0
174,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1
175,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1
176,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
177,3,1,0,0,1,0,0,0,3,1,0,0,0,0,0
178,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1
179,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0
180,1,1,1,1,0,2,0,0,0,0,0,0,0,0,1
181,2,2,2,0,1,1,0,0,0,0,0,0,0,0,1
182,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0
183,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
184,2,1,2,1,0,0,1,0,0,0,1,0,0,0,0
185,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0
186,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
187,1,1,1,2,1,0,0,0,0,1,0,0,0,0,1
188,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
189,2,1,0,0,0,1,0,0,2,1,1,1,0,0,0
190,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0
191,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
192,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0
193,2,1,2,3,0,1,0,0,0,0,0,0,0,0,0
194,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1
195,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1
196,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
197,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
198,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
199,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0
200,2,0,0,0,1,0,0,0,2,1,1,0,1,0,0
201,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
202,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
203,2,2,4,1,1,0,0,0,0,0,0,0,0,0,1
204,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
205,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1
206,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0
207,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0
208,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
209,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
210,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0
